time_iso8601,forks_cumulative
2025-07-09 00:00:00+00:00,44488
2025-07-10 00:00:00+00:00,44495
2025-07-11 00:00:00+00:00,44506
2025-07-12 00:00:00+00:00,44522
2025-07-13 00:00:00+00:00,44529
2025-07-14 00:00:00+00:00,44539
2025-07-15 00:00:00+00:00,44543
2025-07-16 00:00:00+00:00,44557
2025-07-17 00:00:00+00:00,44566
2025-07-18 00:00:00+00:00,44574
2025-07-19 00:00:00+00:00,44584
2025-07-20 00:00:00+00:00,44591
2025-07-21 00:00:00+00:00,44599
2025-07-22 00:00:00+00:00,44607
2025-07-23 00:00:00+00:00,44614
2025-07-24 00:00:00+00:00,44621
2025-07-25 00:00:00+00:00,44630
2025-07-26 00:00:00+00:00,44632
2025-07-27 00:00:00+00:00,44639
2025-07-28 00:00:00+00:00,44645
2025-07-29 00:00:00+00:00,44652
2025-07-30 00:00:00+00:00,44658
2025-07-31 00:00:00+00:00,44672
2025-08-01 00:00:00+00:00,44683
2025-08-02 00:00:00+00:00,44692
2025-08-03 00:00:00+00:00,44701
2025-08-04 00:00:00+00:00,44705
2025-08-05 00:00:00+00:00,44712
2025-08-06 00:00:00+00:00,44725
2025-08-07 00:00:00+00:00,44731
2025-08-08 00:00:00+00:00,44740
2025-08-09 00:00:00+00:00,44746
2025-08-10 00:00:00+00:00,44751
2025-08-11 00:00:00+00:00,44763
2025-08-12 00:00:00+00:00,44772
2025-08-13 00:00:00+00:00,44784
2025-08-14 00:00:00+00:00,44791
2025-08-15 00:00:00+00:00,44796
2025-08-16 00:00:00+00:00,44807
2025-08-17 00:00:00+00:00,44810
2025-08-18 00:00:00+00:00,44812
2025-08-19 00:00:00+00:00,44818
2025-08-20 00:00:00+00:00,44825
2025-08-21 00:00:00+00:00,44836
2025-08-22 00:00:00+00:00,44841
2025-08-23 00:00:00+00:00,44845
2025-08-24 00:00:00+00:00,44853
2025-08-25 00:00:00+00:00,44861
2025-08-26 00:00:00+00:00,44869
2025-08-27 00:00:00+00:00,44875
2025-08-28 00:00:00+00:00,44883
2025-08-29 00:00:00+00:00,44892
2025-08-30 00:00:00+00:00,44896
2025-08-31 00:00:00+00:00,44903
2025-09-01 00:00:00+00:00,44909
2025-09-02 00:00:00+00:00,44915
2025-09-03 00:00:00+00:00,44922
2025-09-04 00:00:00+00:00,44927
2025-09-05 00:00:00+00:00,44935
2025-09-06 00:00:00+00:00,44937
2025-09-07 00:00:00+00:00,44945
2025-09-08 00:00:00+00:00,44955
2025-09-09 00:00:00+00:00,44960
2025-09-10 00:00:00+00:00,44967
2025-09-11 00:00:00+00:00,44971
2025-09-12 00:00:00+00:00,44977
2025-09-13 00:00:00+00:00,44979
2025-09-14 00:00:00+00:00,44987
2025-09-15 00:00:00+00:00,44995
2025-09-16 00:00:00+00:00,45001
2025-09-17 00:00:00+00:00,45007
2025-09-18 00:00:00+00:00,45009
2025-09-19 00:00:00+00:00,45019
2025-09-20 00:00:00+00:00,45027
2025-09-21 00:00:00+00:00,45028
2025-09-22 00:00:00+00:00,45031
2025-09-23 00:00:00+00:00,45036
2025-09-24 00:00:00+00:00,45042
2025-09-25 00:00:00+00:00,45052
2025-09-26 00:00:00+00:00,45061
2025-09-27 00:00:00+00:00,45064
2025-09-28 00:00:00+00:00,45073
2025-09-29 00:00:00+00:00,45082
2025-09-30 00:00:00+00:00,45089
2025-10-01 00:00:00+00:00,45093
2025-10-02 00:00:00+00:00,45100
2025-10-03 00:00:00+00:00,45106
2025-10-04 00:00:00+00:00,45118
2025-10-05 00:00:00+00:00,45122
2025-10-06 00:00:00+00:00,45130
2025-10-07 00:00:00+00:00,45135
2025-10-08 00:00:00+00:00,45143
2025-10-09 00:00:00+00:00,45155
2025-10-10 00:00:00+00:00,45162
2025-10-11 00:00:00+00:00,45166
2025-10-12 00:00:00+00:00,45172
2025-10-13 00:00:00+00:00,45183
2025-10-14 00:00:00+00:00,45191
2025-10-15 00:00:00+00:00,45195
2025-10-16 00:00:00+00:00,45198
2025-10-17 00:00:00+00:00,45207
2025-10-18 00:00:00+00:00,45214
